"B26_TLS"	"B26_NonTLS"	"B49_TLS"	"B49_NonTLS"	"C01_TLS"	"C01_NonTLS"	"P131_TLS"	"P131_NonTLS"	"c_2_TLS"	"c_2_NonTLS"	"c_2_50_TLS"	"c_2_50_NonTLS"	"c_3_TLS"	"c_3_NonTLS"	"c_4_TLS"	"c_4_NonTLS"	"c_7_TLS"	"c_7_NonTLS"	"c_20_TLS"	"c_20_NonTLS"	"c_34_TLS"	"c_34_NonTLS"	"c_36_TLS"	"c_36_NonTLS"	"c_39_TLS"	"c_39_NonTLS"	"c_45_TLS"	"c_45_NonTLS"	"c_51_TLS"	"c_51_NonTLS"	"a_1_NonTLS"	"a_3_TLS"	"a_3_NonTLS"	"a_15_TLS"	"a_15_NonTLS"	"a_17_NonTLS"	"b_1_TLS"	"b_1_NonTLS"	"b_7_NonTLS"	"b_18_TLS"	"c_5_TLS"	"c_5_NonTLS"	"c_23_TLS"	"c_23_NonTLS"	"c_57_TLS"	"c_57_NonTLS"
"S01"	0.484170531958676	9.9834884917006e-15	0.353889812598072	0.00393390853226344	0.0520715564007324	6.20869551610458e-15	0.255186144466642	9.85277922167358e-15	0.0812631192277231	1.38199595861545e-14	7.07674557496114e-15	8.03763835527966e-15	0.127048159673216	0.019883670740699	0.276020429035958	0.00706058114087683	0.156212909312422	1.03530529831094e-14	0.0108068423858009	0.00220404952329567	0.297234253837191	1.03578862728595e-14	0.0922428601078268	1.14527111553026e-14	0.0212286249477332	1.22628857872381e-14	0.174532737310905	0.0352717297091159	0.288290485133973	0.00546080678417754	9.05613364817189e-15	0.0326097631259777	1.02257437722543e-14	0.192418278526021	0.0192963662423924	7.6664237698259e-15	2.13742951777202e-10	8.75652547370936e-15	9.32416568907857e-15	0.0396683324871875	1.04969138073653e-14	9.62362859157589e-15	8.4947472007162e-15	9.32014624915517e-15	8.75161317235937e-15	8.99165518971606e-15
"S02"	3.65076414174567e-15	9.9834884917006e-15	0.0562922281472796	0.104377830940293	8.44552852366421e-15	0.0262086456153652	6.57144089681233e-15	9.85277922167358e-15	7.76247514967787e-09	0.143349378283322	7.07674557496114e-15	8.03763835527966e-15	0.0143197527373223	0.00727434750869859	0.0262441026338451	0.0719372164690253	0.000735038488797964	0.0758167268975008	1.01185270572353e-14	0.0177479041669842	0.0738351115381244	0.0729175743623725	0.0161520100949358	0.0222949196534034	0.025491076310398	0.0149914176416944	0.0225059120309679	0.0799546601180549	8.90464790916034e-15	1.3740516813547e-14	0.00421729642527005	7.18224886993709e-15	1.02257437722543e-14	0.104667311682481	0.234119024589768	0.00239079525130181	0.231044298822554	0.178381933942443	0.248531178855123	0.110624931386682	1.04969138073653e-14	9.62362859157589e-15	8.4947472007162e-15	9.32014624915517e-15	8.75161317235937e-15	8.99165518971606e-15
"S03"	0.114627308414655	0.0237729762721859	0.154736588710255	0.0180391207381315	0.0156288238557969	6.20869551610458e-15	6.57144089681233e-15	9.85277922167358e-15	1.17404571202235e-14	1.38199595861545e-14	7.07674557496114e-15	8.03763835527966e-15	0.0517069384904503	0.163947390379532	1.29124902972624e-14	1.17810205203288e-14	0.0848243781912852	1.03530529831094e-14	1.01185270572353e-14	0.00309823928556259	1.00159923291932e-14	1.03578862728595e-14	2.58300655907269e-05	0.00254852981369856	9.25271057593191e-15	0.00237343375408	0.0219642923804988	0.00560095606608003	8.90464790916034e-15	1.3740516813547e-14	0.0934044561031183	0.0865718172409675	1.02257437722543e-14	0.333167101508667	0.236703296748246	0.00430562812105528	0.166565598470096	0.00983860276998873	0.0829822516554575	0.272411645511205	0.0677272207497814	0.0221549789999251	8.4947472007162e-15	9.32014624915517e-15	0.0108065072096347	0.000162901394411987
"S04"	0.0303173735419493	0.014070645861497	0.0564398396353598	0.153205021742275	8.44380848088984e-13	6.20869551610458e-15	0.0187682407193193	9.85277922167358e-15	0.307955402164209	0.298111675374222	7.07674557496114e-15	0.00052977969446566	0.330975307830537	0.312450907021111	1.29124902972624e-14	0.028509590132237	0.201632014161257	0.133658575496086	1.01185270572353e-14	1.19294075337305e-14	0.0357717859170836	0.0146439136173968	0.00905760574581482	1.14527111553026e-14	9.25271057593191e-15	1.22628857872381e-14	7.49757653884184e-07	1.35262451539809e-14	0.0442854119376136	0.016848667729015	0.00506732953326352	0.161873634926111	0.0595616931691202	0.00887123188647239	0.0438146135993851	7.6664237698259e-15	0.126099129944487	0.0593416636439002	9.32416568907857e-15	0.17624980963963	0.00729015183573973	0.0146429968045085	8.4947472007162e-15	9.32014624915517e-15	0.0145543493810301	0.00559173139645144
"S05"	0.0418597145486661	9.9834884917006e-15	0.0499452769226178	0.0231470535149403	0.0296614949580515	0.00637830520760636	0.0238939139196861	0.0470961898138886	0.014945894019901	0.0220352522297579	7.07674557496114e-15	8.03763835527966e-15	0.0172029327014267	0.000896353486886648	0.0205151421859438	0.119022026154947	0.148982159817373	0.0362718159412182	0.0192161677320959	0.0077564840204678	1.00159923291932e-14	0.000424886019904695	0.0537643163387199	0.0260158023437568	0.0012260539410647	0.0357880299978331	0.0467209042159032	0.0102611810979647	0.123747469302207	0.0783465820443812	0.206756550232903	0.281523486736954	0.165829900434527	0.127502082359593	0.21544565333433	0.298467732621682	0.158691639401565	0.191797886027703	0.0765189553370959	0.054116056792937	1.04969138073653e-14	9.62362859157589e-15	8.4947472007162e-15	9.32014624915517e-15	8.75161317235937e-15	8.99165518971606e-15
"S06"	0.0255314731804928	0.0199123816024884	0.065937717489137	0.160398001866419	0.0483098263848247	0.029686167669884	0.0562887449010533	0.060215725547318	0.0375377786054613	0.0391040003650124	0.000511509628778612	8.03763835527966e-15	0.0844563943495248	0.173898741660506	0.000215531560397283	0.0383810077000009	0.191427998185821	0.140674132729651	0.00448729462411264	1.19294075337305e-14	8.5015354582077e-06	0.0249879010960666	0.286794318651353	0.239690623827114	9.25271057593191e-15	0.00406543459271321	0.000144667036396078	1.35262451539809e-14	0.164073678997727	0.178489883696668	2.09872813953825e-12	0.17216623234566	0.25303672816239	0.0257862870811932	0.0315047874149124	0.0657195868033844	0.0748869156228351	0.0165826109990353	9.32416568907857e-15	0.103958999680788	0.0187304099187454	0.00846800353192122	0.00814084731844598	0.00821600101337034	0.0872044837654019	0.076799776185289
"S07"	0.0329729986766871	0.00798130380700168	0.0949953503589679	0.266799496714104	0.166829866560045	0.269341146125527	0.204534785841269	0.0333546349678458	0.172031244643755	0.0449308080366238	7.07674557496114e-15	0.0223450996841686	0.222864827431024	0.186795010227995	0.0754601181311347	0.215488365376949	0.0480691886068717	0.192789272510464	0.00135051974839634	4.10285347828849e-05	0.0324956472610381	0.127955992241526	0.0621405283171366	0.118834195822311	0.0799209750809761	0.0205411240581702	1.04903432940209e-14	0.0940105352936011	0.076140081270824	0.0835326202271705	0.0691824807243594	7.18224886993709e-15	0.0090233545848381	3.76497739683721e-15	5.22407096375086e-15	7.6664237698259e-15	0.0833377763033679	0.0694165092186146	9.32416568907857e-15	0.0417365891225059	0.00157686992659636	9.62362859157589e-15	0.00505876302707484	9.32014624915517e-15	0.0285141972549561	0.0230077599985668
"S08"	0.127420259939263	0.213022228111118	0.105847404203412	0.138750695031475	0.278930456162782	0.200069151849935	0.350258037662334	0.482039957533583	1.17404571202235e-14	1.38199595861545e-14	7.07674557496114e-15	8.03763835527966e-15	0.0420057109112875	0.113893852262512	0.0106394772901317	0.0510189460994715	0.128880770447608	0.156926496841033	1.01185270572353e-14	1.19294075337305e-14	0.00947655794341637	1.03578862728595e-14	0.0150491584241331	0.0158464075026113	9.25271057593191e-15	0.0270878398762363	0.0378285263980905	1.35262451539809e-14	0.164897436416183	0.0491558686345648	0.0437067974259077	0.00131867364494674	1.02257437722543e-14	0.103198239161169	0.134316745821476	0.0978772675736394	0.0395747347071602	0.0679722277582149	0.0411408004182103	0.106012377260693	1.04969138073653e-14	9.62362859157589e-15	8.4947472007162e-15	9.32014624915517e-15	8.75161317235937e-15	8.99165518971606e-15
"S09"	0.0748882807609829	0.126586623836433	0.0553391421539023	0.0749607436040707	0.0896430721219801	0.200292854187039	6.96376133088834e-08	0.0938120832283656	0.0177756060212582	0.00667126243408036	7.07674557496114e-15	8.07237135847998e-12	7.18912533644468e-15	0.000390525378924538	0.262426933047127	0.257169732939728	0.0360174679618514	0.151340207756079	1.01185270572353e-14	0.0178317315807679	0.125412706592219	0.0920009961691277	0.137642154517594	0.122683119313377	0.0521592954705957	0.0781546030186899	0.146759163036251	0.183858086991286	0.0502281952222493	0.0109909301549736	0.0693380116068352	0.00209834759209898	0.0107345648640072	0.0749407699745807	0.038446186829267	0.118737593431237	0.0650360980382721	0.128539735491155	0.0568094102257849	0.085565368616246	0.0370828669096471	0.0308298255290984	8.4947472007162e-15	9.32014624915517e-15	0.0410301803061098	0.0293916648315526
